time,NO2,CO,SO2
2025-12-12,4.892598371952772e-05,0.031456708908081,0.0001541939709568
2025-12-13,4.184965776706425e-05,0.0305946189910173,0.0002202705557768
2025-12-14,3.477333181460077e-05,0.0292991013266145,0.0002863471405968
2025-12-15,2.7697005862137303e-05,0.0280035836622118,0.0003524237254168
2025-12-16,3.4868835427914746e-05,0.026708065997809102,0.0001478534559282
2025-12-17,4.204066499369219e-05,0.0254125483334064,0.0001666839125390857
2025-12-18,4.432446803548373e-05,0.0281832292675972,0.00018551436914997143
2025-12-19,4.6608271077275276e-05,0.028704281151294697,0.00020434482576085712
2025-12-20,4.889207411906682e-05,0.0292253330349922,0.00022317528237174284
2025-12-21,5.117587716085837e-05,0.0297463849186897,0.00024200573898262856
2025-12-22,5.345968020264991e-05,0.0302674368023872,0.0002608361955935143
2025-12-23,5.547765249502845e-05,0.0307884886860847,0.0002796666522044
2025-12-24,3.391308200662024e-05,0.0256214775145053,0.0003838497214019
2025-12-25,4.052844087709673e-05,0.0302115008234977,0.00023350208357440677
2025-12-26,4.3629941501421854e-05,0.0299636623822152,8.315444574691355e-05
2025-12-27,4.673144212574698e-05,0.0297158239409327,0.0004381514590931568
2025-12-28,4.983294275007211e-05,0.0294679854996502,0.0007931484724394
2025-12-29,5.293444337439723e-05,0.0292201470583677,0.00052903679898
2025-12-30,5.293266622174997e-05,0.028800994530320125,0.0004728220665128
2025-12-31,5.2930889069102705e-05,0.02838184200227255,0.00041660733404560004
2026-01-01,5.292911191645544e-05,0.027962689474224978,0.0003603926015784
2026-01-02,5.2927334763808176e-05,0.0275435369461774,0.0003041778691112
2026-01-03,5.292555761116091e-05,0.0271243844181299,0.000247963136644
2026-01-04,5.292378045851365e-05,0.0262498874217271,0.0001917484041769
2026-01-05,5.292200330586638e-05,0.0253753904253244,0.00016734382188587484
2026-01-06,5.292022615321912e-05,0.0245008934289216,0.00014293923959484968
2026-01-07,5.2918449000571854e-05,0.0236263964325189,0.00011853465730382453
2026-01-08,5.291667184792459e-05,0.0227518994361162,9.413007501279937e-05
2026-01-09,5.033089920206376e-05,0.0232925161041996,7.714711364315009e-05
2026-01-10,4.774512655620294e-05,0.02383313277228305,6.016415227350082e-05
2026-01-11,4.515935391034211e-05,0.0243737494403665,4.318119090385154e-05
2026-01-12,4.257358126448129e-05,0.0249143661084499,2.619822953420227e-05
2026-01-13,3.998780861862046e-05,0.0254549827765334,2.515585333639873e-05
2026-01-14,3.7402035972759634e-05,0.0259955994446168,2.4113477138595193e-05
2026-01-15,3.4816263326898806e-05,0.02653621611270025,2.3071100940791654e-05
2026-01-16,3.2230490681037985e-05,0.0270768327807837,2.2028724742988116e-05
2026-01-17,2.964471803517716e-05,0.02761744944886715,2.098634854518458e-05
2026-01-18,2.705894538931633e-05,0.0281580661169506,1.9943972347381043e-05
2026-01-19,2.4473172743455507e-05,0.0286986827850341,1.8901596149577505e-05
2026-01-20,2.3781962227076292e-05,0.0245668813586235,1.7859219951773967e-05
2026-01-21,2.309075171069708e-05,0.0239831078797578,4.312634428058048e-05
2026-01-22,2.2399541194317862e-05,0.0265692075093586,6.839346860938698e-05
2026-01-23,2.1708330677938648e-05,0.0291553071389595,9.366059293819349e-05
2026-01-24,2.1017120161559436e-05,0.0317414067685604,0.000118927717267
2026-01-25,2.0325909645180218e-05,0.0294855181127786,4.42626769654e-05
2026-01-26,1.9634699128801003e-05,0.029608950484543966,6.778887796417778e-05
2026-01-27,1.8943488612421788e-05,0.029732382856309334,9.131507896295555e-05
2026-01-28,1.8252278096042573e-05,0.0298558152280747,0.00011484127996173333
2026-01-29,1.756106757966336e-05,0.0299792475998401,0.0001383674809605111
2026-01-30,1.855872187661589e-05,0.0293405083939432,0.00016189368195928887
2026-01-31,1.9556376173568424e-05,0.0287017691880464,0.00018541988295806667
2026-02-01,2.055403047052096e-05,0.0309586515650152,0.00020894608395684446
2026-02-02,2.155168476747349e-05,0.0332155339419841,0.0002324722849556222
2026-02-03,3.59686637239065e-05,0.0295811910182237,0.0002559984859544
2026-02-04,4.753764369525016e-05,0.0276775173842906,2.286920789629221e-05
2026-02-05,4.461949836034117e-05,0.0284217037260531,2.0302011762396432e-05
2026-02-06,4.1701353025432176e-05,0.0291658900678157,1.7734815628500655e-05
2026-02-07,3.8783207690523184e-05,0.0289934445172547,3.252483697400058e-05
2026-02-08,3.5865062355614185e-05,0.0288209989666938,4.731485831950051e-05
